,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00776,-0.01659,-0.00027
1,mesa_raw,ADE,0.1594,0.00642,0.31939
2,mesa_raw,Total Effect,0.16312,0.01107,0.32388
3,mesa_raw,Prop. Mediated,-0.04757,-0.06151,-0.03264
4,mesa_imputed,ACME,-0.00451,-0.00989,0.00073
5,mesa_imputed,ADE,0.10539,-0.016,0.2213
6,mesa_imputed,Total Effect,0.10932,-0.01064,0.22342
7,mesa_imputed,Prop. Mediated,-0.04122,-0.05315,-0.02779
8,mesa_cate,ACME,-0.00229,-0.00706,0.00194
9,mesa_cate,ADE,0.05791,-0.05375,0.1671
10,mesa_cate,Total Effect,0.06052,-0.05106,0.17224
11,mesa_cate,Prop. Mediated,-0.03775,-0.06696,-0.02086
12,mesa_pre,ACME,-0.00166,-0.00516,0.00144
13,mesa_pre,ADE,0.04605,-0.04234,0.13919
14,mesa_pre,Total Effect,0.04812,-0.04099,0.14231
15,mesa_pre,Prop. Mediated,-0.03443,-0.05319,-0.02131
