"Data","Y","X","intercept","intercept_pvalue","X_coef","X_pvalue","X_ci_lwr","X_ci_upr"
"mesa","cvd_10y_HF","nSES",-2.19686,0,0.13535,0.01513,0.02744,0.24596
"mesa","cvd_10y_HF","nFavFood",-2.15167,0,-0.37093,0,-0.49293,-0.25948
"mesa","cvd_10y_HF","nPhysFac",-2.13813,0,-0.05835,0.44237,-0.21671,0.08192
"mesa","cvd_10y_HF","nRS",-2.1512,0,0.11596,0.04615,-0.00167,0.22677
"mesa","cvd_10y_noHF","nSES",-2.42638,0,0.18436,0.00304,0.06418,0.30811
"mesa","cvd_10y_noHF","nFavFood",-2.37091,0,-0.3912,0,-0.52996,-0.26579
"mesa","cvd_10y_noHF","nPhysFac",-2.34493,0,-0.06971,0.40635,-0.24604,0.08399
"mesa","cvd_10y_noHF","nRS",-2.35259,0,0.17849,0.00271,0.05793,0.29194
"jhs","cvd_10y_HF","nSES",-2.10324,0,0.1411,0.02083,0.02339,0.26285
"jhs","cvd_10y_HF","nFavFood",-2.03912,0,0.05911,0.28036,-0.04957,0.16523
"jhs","cvd_10y_HF","nPhysFac",-2.0662,0,0.06415,0.24919,-0.04832,0.17027
"jhs","cvd_10y_HF","nRS",-2.12285,0,0.19639,0.00137,0.07798,0.31861
"jhs","cvd_10y_noHF","nSES",-2.66646,0,0.23013,0.00402,0.07685,0.39056
"jhs","cvd_10y_noHF","nFavFood",-2.58766,0,0.07834,0.2483,-0.05698,0.20929
"jhs","cvd_10y_noHF","nPhysFac",-2.61294,0,0.01645,0.82011,-0.13183,0.15226
"jhs","cvd_10y_noHF","nRS",-2.65662,0,0.17163,0.02441,0.02509,0.32433
