"Data","Y","X","b1_mean","b1_ci_lwr","b1_ci_upr","b21_mean","b21_ci_lwr","b21_ci_upr","b22_mean","b22_ci_lwr","b22_ci_upr","b23_mean","b23_ci_lwr","b23_ci_upr","b24_mean","b24_ci_lwr","b24_ci_upr","b25_mean","b25_ci_lwr","b25_ci_upr","b3_mean","b3_ci_lwr","b3_ci_upr","b41_mean","b41_ci_lwr","b41_ci_upr","b42_mean","b42_ci_lwr","b42_ci_upr","b43_mean","b43_ci_lwr","b43_ci_upr","b44_mean","b44_ci_lwr","b44_ci_upr","b45_mean","b45_ci_lwr","b45_ci_upr","b_21_41_mean","b_21_41_ci_lwr","b_21_41_ci_upr","b_22_42_mean","b_22_42_ci_lwr","b_22_42_ci_upr","b_23_43_mean","b_23_43_ci_lwr","b_23_43_ci_upr","b_24_44_mean","b_24_44_ci_lwr","b_24_44_ci_upr","b_25_45_mean","b_25_45_ci_lwr","b_25_45_ci_upr","TotalEffect_b1","b21","b22","b23","b24","b25","DirectEffect_b3","b41","b42","b43","b44","b45","IndirectEffect_b21_b41","IndirectEffect_b22_b42","IndirectEffect_b23_b43","IndirectEffect_b24_b44","IndirectEffect_b25_b45"
"jhs","cvd_10y_HF","nFavFood",0.0300755266079898,-0.0752978608485752,0.127813902043539,-0.134070067633233,-0.16471231325493,-0.103688834949201,-0.00355100271214207,-0.0192148117826274,0.0120768395193345,-0.0329389502377752,-0.0557540657561704,-0.00834436701932715,0.0142513731005241,0.00412430480730772,0.0250674371237033,0.0110034767691066,-0.0040185777789815,0.026480683923424,0.00644445280266703,-0.103135325619292,0.106070235348176,-0.140117433483226,-0.264780733417443,-0.0240565018435275,-0.021393391881829,-0.251530669273996,0.208524128414909,-0.106124411322482,-0.261505174852147,0.0609223315610237,0.688623079410475,0.336758526563179,1.02096345859602,-0.054166904016452,-0.322524027862207,0.193517821072007,0.0188730070084923,0.00327740319910371,0.0383920274749225,4.02212436139615e-05,-0.002241117905968,0.00230023119350327,0.00345631209358992,-0.00209483296546362,0.0108422343312137,0.00985466795000931,0.00216575744681682,0.020418585782289,-0.0005894390141144,-0.00532713579120585,0.00274039466380231,"0.030 [-0.075, 0.128]","-0.134 [-0.165, -0.104]","-0.004 [-0.019, 0.012]","-0.033 [-0.056, -0.008]","0.014 [0.004, 0.025]","0.011 [-0.004, 0.026]","0.006 [-0.103, 0.106]","-0.140 [-0.265, -0.024]","-0.021 [-0.252, 0.209]","-0.106 [-0.262, 0.061]","0.689 [0.337, 1.021]","-0.054 [-0.323, 0.194]","0.019 [0.003, 0.038]","0.000 [-0.002, 0.002]","0.003 [-0.002, 0.011]","0.010 [0.002, 0.020]","-0.001 [-0.005, 0.003]"
"jhs","cvd_10y_HF","nRS",0.0768487570633906,-0.0369435459000114,0.202057847767691,-0.135847139695309,-0.164268364001315,-0.107118709990989,-0.0130598979745028,-0.0302626037834894,0.00157266763961129,-0.0535121231608644,-0.0789016047991019,-0.0282697393486748,0.0243925213527515,0.0135472357142934,0.0349055163138622,0.000235685592912126,-0.0147313497604814,0.0168086448467839,0.042675625946968,-0.0706126932604535,0.167843192180949,-0.137681254840572,-0.265719677425935,-0.0149431591252643,-0.0246838982388209,-0.253348247387619,0.188390717217459,-0.1009375173158,-0.262335973082093,0.0462278005297955,0.686926750294458,0.331040286122084,1.00783533777823,-0.0479214494768069,-0.305203414993761,0.205569903912226,0.0187005189972788,0.00211256245127037,0.037622859494693,0.000347701445052633,-0.00304488043681814,0.00404292882290993,0.00538772039623564,-0.00243248309674004,0.0152921012107581,0.016753102172172,0.00680543930457131,0.0286813691438931,-9.9249705450879e-06,-0.00220184051871437,0.00247657223085423,"0.077 [-0.037, 0.202]","-0.136 [-0.164, -0.107]","-0.013 [-0.030, 0.002]","-0.054 [-0.079, -0.028]","0.024 [0.014, 0.035]","0.000 [-0.015, 0.017]","0.043 [-0.071, 0.168]","-0.138 [-0.266, -0.015]","-0.025 [-0.253, 0.188]","-0.101 [-0.262, 0.046]","0.687 [0.331, 1.008]","-0.048 [-0.305, 0.206]","0.019 [0.002, 0.038]","0.000 [-0.003, 0.004]","0.005 [-0.002, 0.015]","0.017 [0.007, 0.029]","-0.000 [-0.002, 0.002]"
"jhs","cvd_10y_HF","nSES",0.0834164263917561,-0.033880428983826,0.203875461618184,-0.244596280771954,-0.271196760253141,-0.215586121227868,-0.0232275245942682,-0.0391243272192869,-0.00757217464883671,-0.0901331224730508,-0.115692918887834,-0.062989522028955,0.0219125397075178,0.0109794351009686,0.0315063022439314,-0.0332693300353943,-0.0485719927113922,-0.0170011245723184,0.0177081940555405,-0.108410398470642,0.145736888779309,-0.135176048096952,-0.271027360989539,-0.000927691843136785,-0.0227029801745138,-0.233192795610522,0.203490497954866,-0.104436564598979,-0.273105160074876,0.0528480290963079,0.680326053847323,0.340976565356881,1.03044949994219,-0.0480738465027032,-0.294688877504735,0.192680773428963,0.0330587946780383,0.00023835277841785,0.0688513732569756,0.000512897884831394,-0.00453080442886261,0.00616399493331662,0.00932668281621739,-0.0045826185640227,0.0253857763657443,0.0149059600652557,0.00553675525037681,0.0261031821868991,0.00157086218450811,-0.00713946622304826,0.0103973320646692,"0.083 [-0.034, 0.204]","-0.245 [-0.271, -0.216]","-0.023 [-0.039, -0.008]","-0.090 [-0.116, -0.063]","0.022 [0.011, 0.032]","-0.033 [-0.049, -0.017]","0.018 [-0.108, 0.146]","-0.135 [-0.271, -0.001]","-0.023 [-0.233, 0.203]","-0.104 [-0.273, 0.053]","0.680 [0.341, 1.030]","-0.048 [-0.295, 0.193]","0.033 [0.000, 0.069]","0.001 [-0.005, 0.006]","0.009 [-0.005, 0.025]","0.015 [0.006, 0.026]","0.002 [-0.007, 0.010]"
"jhs","cvd_10y_noHF","nFavFood",0.0476276116083909,-0.0859441184214469,0.1774001164131,-0.13439612266624,-0.16357045192657,-0.105192517036752,-0.00425514007939098,-0.0202783199522065,0.0126138622746192,-0.0327074735840163,-0.0565562248958446,-0.00819691402924458,0.0143904371566996,0.00443042522085437,0.0250944292390301,0.0107963361267262,-0.00471996048282115,0.0261084468351132,0.038906628520569,-0.0954291121546595,0.169281192672701,0.00133395983264908,-0.15207142134344,0.162518330971062,0.0417526318097728,-0.239293388576839,0.308705173739803,-0.149005608474691,-0.349007980150571,0.0447001455578608,0.629130367679991,0.174068920250183,1.04192827372799,0.00489864156558566,-0.315181020906479,0.308209280531306,-8.24586534263913e-05,-0.020776936226387,0.0210600350277208,-0.000210064642244958,-0.00355533993510344,0.00228668998211126,0.00483955075578256,-0.00147562909946674,0.0137176464478647,0.00904949193337793,0.00124029312027994,0.0193759460726944,-1.19152420388453e-05,-0.00498963820838482,0.004566812278191,"0.048 [-0.086, 0.177]","-0.134 [-0.164, -0.105]","-0.004 [-0.020, 0.013]","-0.033 [-0.057, -0.008]","0.014 [0.004, 0.025]","0.011 [-0.005, 0.026]","0.039 [-0.095, 0.169]","0.001 [-0.152, 0.163]","0.042 [-0.239, 0.309]","-0.149 [-0.349, 0.045]","0.629 [0.174, 1.042]","0.005 [-0.315, 0.308]","-0.000 [-0.021, 0.021]","-0.000 [-0.004, 0.002]","0.005 [-0.001, 0.014]","0.009 [0.001, 0.019]","-0.000 [-0.005, 0.005]"
"jhs","cvd_10y_noHF","nRS",0.0989778148685284,-0.0440692173061543,0.250728473317667,-0.136426038643104,-0.167809352661409,-0.108546414015742,-0.013221702083247,-0.0290480595044255,0.00199966782210301,-0.0536415118679392,-0.0802690804912519,-0.0282758481414803,0.0248652206275224,0.0132372794342645,0.0353793570157713,0.000616257128320687,-0.0154631433942352,0.0171259685320673,0.0779813708730322,-0.0599373529327196,0.237137691722707,-0.00161536269495619,-0.149759745957961,0.157265368279853,0.0523254978122674,-0.214639900116665,0.297554269463624,-0.142981792787552,-0.35354548023021,0.0519314235456166,0.63705326998236,0.239612967330626,1.03274630172867,0.00392080188380471,-0.338121816159083,0.346731608397233,0.000120006714505613,-0.0217346658841859,0.0208563141256504,-0.000703851362355367,-0.0053184723256374,0.00363101910284091,0.00762314127220714,-0.00276440615576,0.0214207931426922,0.0158176628467019,0.0047667475866705,0.0294047964812305,8.3613605408799e-05,-0.0025437736426695,0.00321642426656149,"0.099 [-0.044, 0.251]","-0.136 [-0.168, -0.109]","-0.013 [-0.029, 0.002]","-0.054 [-0.080, -0.028]","0.025 [0.013, 0.035]","0.001 [-0.015, 0.017]","0.078 [-0.060, 0.237]","-0.002 [-0.150, 0.157]","0.052 [-0.215, 0.298]","-0.143 [-0.354, 0.052]","0.637 [0.240, 1.033]","0.004 [-0.338, 0.347]","0.000 [-0.022, 0.021]","-0.001 [-0.005, 0.004]","0.008 [-0.003, 0.021]","0.016 [0.005, 0.029]","0.000 [-0.003, 0.003]"
"jhs","cvd_10y_noHF","nSES",0.215263432834957,0.0683550621932901,0.37699504341165,-0.24396464592781,-0.271755100546389,-0.215601197935982,-0.0234088405546825,-0.0394636787154804,-0.00826010651475186,-0.0900014967444061,-0.115137114845874,-0.0636138066548632,0.0219326657637279,0.011617785602696,0.0331258849857135,-0.0325049767306065,-0.0472818878628727,-0.0163552096427481,0.196990619879089,0.0483225913821862,0.367770354758811,0.042773006044646,-0.110925678109539,0.208010739925046,0.0490689679173177,-0.227385804033587,0.320803045269332,-0.12521494304966,-0.32788948308345,0.0741089347195598,0.619598699381503,0.174801049901609,0.987382724650289,0.0186684857352803,-0.303704340619076,0.342350708695767,-0.0105279562743416,-0.0518335782984138,0.027099162613613,-0.0011399181804102,-0.00850740485488363,0.00581890905925451,0.0112552550620259,-0.00615363635432103,0.0307849944324957,0.0136083060538014,0.00364980078350661,0.0266695387181006,-0.00062503506646237,-0.0122638258216981,0.0106716496415556,"0.215 [0.068, 0.377]","-0.244 [-0.272, -0.216]","-0.023 [-0.039, -0.008]","-0.090 [-0.115, -0.064]","0.022 [0.012, 0.033]","-0.033 [-0.047, -0.016]","0.197 [0.048, 0.368]","0.043 [-0.111, 0.208]","0.049 [-0.227, 0.321]","-0.125 [-0.328, 0.074]","0.620 [0.175, 0.987]","0.019 [-0.304, 0.342]","-0.011 [-0.052, 0.027]","-0.001 [-0.009, 0.006]","0.011 [-0.006, 0.031]","0.014 [0.004, 0.027]","-0.001 [-0.012, 0.011]"
"mesa","cvd_10y_HF","nRS",0.157264485325842,0.047048099878978,0.272833778332928,-0.0614107745963777,-0.0958845907288496,-0.0281111093492981,-0.0157824765616296,-0.033151257509871,0.00208935319428922,0.00179728318747289,-0.0282166355964835,0.030520564458468,0.0408086576192862,0.0143728904245558,0.0671640266097876,-0.000651367512840861,-0.0177881299988512,0.0171430296098872,0.149306378008451,0.0394978116210762,0.266125270569129,-0.0238787914984577,-0.153002711882269,0.100927692502404,-0.200654806602772,-0.431692667063736,0.0251101774684161,-0.0947311377794127,-0.217197484462742,0.0230238243645768,0.22262887989154,0.0636317548894457,0.383740893348697,-0.0187561173836027,-0.255593599481636,0.214277373371365,0.00146976809157329,-0.00600351866296443,0.0102483397166094,0.00315319621133324,-0.000969467835563672,0.0102543303395484,-0.000189834932109587,-0.0039893333791174,0.00350556139433935,0.00910420941654078,0.00126261658080473,0.0194041559270312,5.36945491610058e-05,-0.00191455237024291,0.00230939691641754,"0.157 [0.047, 0.273]","-0.061 [-0.096, -0.028]","-0.016 [-0.033, 0.002]","0.002 [-0.028, 0.031]","0.041 [0.014, 0.067]","-0.001 [-0.018, 0.017]","0.149 [0.039, 0.266]","-0.024 [-0.153, 0.101]","-0.201 [-0.432, 0.025]","-0.095 [-0.217, 0.023]","0.223 [0.064, 0.384]","-0.019 [-0.256, 0.214]","0.001 [-0.006, 0.010]","0.003 [-0.001, 0.010]","-0.000 [-0.004, 0.004]","0.009 [0.001, 0.019]","0.000 [-0.002, 0.002]"
"mesa","cvd_10y_noHF","nRS",0.176792909672998,0.055793241616755,0.29103173054806,-0.062076240787142,-0.0944939566632681,-0.0251888467353003,-0.0155329829002841,-0.0329410750951974,0.00272618213342196,0.00100571361104143,-0.0310347041425377,0.0318052445897892,0.0406880429349371,0.015319085209523,0.0682330404582905,-0.00082648268243187,-0.0176026181988777,0.0170433630996347,0.16694792837768,0.044085450993392,0.28462382537768,-0.0526408363331161,-0.178262474617096,0.0737909046937503,-0.230562568098974,-0.467382989272306,-0.00530262817141074,-0.0745222933377455,-0.199211723086574,0.0535240647097877,0.218552100580127,0.0582160702140966,0.388373770696769,-0.0423389715307333,-0.272353997568089,0.206994830362625,0.00321514927827222,-0.00483432432518794,0.0116652705375268,0.00362290250177942,-0.000839060862562181,0.0110633210095328,-9.88493496523571e-05,-0.0039617654131417,0.00304992749282561,0.00888087715916573,0.0016066500610259,0.01915783881174,8.47303515719428e-06,-0.00258840233392582,0.00239347830504909,"0.177 [0.056, 0.291]","-0.062 [-0.094, -0.025]","-0.016 [-0.033, 0.003]","0.001 [-0.031, 0.032]","0.041 [0.015, 0.068]","-0.001 [-0.018, 0.017]","0.167 [0.044, 0.285]","-0.053 [-0.178, 0.074]","-0.231 [-0.467, -0.005]","-0.075 [-0.199, 0.054]","0.219 [0.058, 0.388]","-0.042 [-0.272, 0.207]","0.003 [-0.005, 0.012]","0.004 [-0.001, 0.011]","-0.000 [-0.004, 0.003]","0.009 [0.002, 0.019]","0.000 [-0.003, 0.002]"
"mesa","cvd_10y_noHF","nSES",0.0811596064534348,-0.0482889095208782,0.214916952910763,-0.29770173253624,-0.327481391667243,-0.270079459319241,-0.0182982297802152,-0.0363542374173928,0.00033945316520008,-0.136988555389927,-0.16513909397551,-0.106804681977013,0.0266157327824637,0.00257738923823009,0.0524894911440959,-0.052152166141931,-0.068100338627887,-0.0361855048114087,0.0470151294927007,-0.100293688972942,0.194284719538282,-0.044712902435019,-0.187192740822971,0.107122566882098,-0.236822810522896,-0.462056732988298,0.00384279705321621,-0.0688782750145028,-0.197464792751022,0.0628695336583756,0.215738369138229,0.0493827206936527,0.38361604530797,-0.0360584199796491,-0.299516380931404,0.217635987859225,0.0133591228445909,-0.0312029214276326,0.0565953444232443,0.00434001435163996,-0.000711935588329592,0.0116435705047883,0.00943419436803908,-0.00884997989277482,0.0276997804246875,0.00569338675108501,0.000286645424730211,0.0144023769570789,0.00185686717344864,-0.0116106765275534,0.0159238182438752,"0.081 [-0.048, 0.215]","-0.298 [-0.327, -0.270]","-0.018 [-0.036, 0.000]","-0.137 [-0.165, -0.107]","0.027 [0.003, 0.052]","-0.052 [-0.068, -0.036]","0.047 [-0.100, 0.194]","-0.045 [-0.187, 0.107]","-0.237 [-0.462, 0.004]","-0.069 [-0.197, 0.063]","0.216 [0.049, 0.384]","-0.036 [-0.300, 0.218]","0.013 [-0.031, 0.057]","0.004 [-0.001, 0.012]","0.009 [-0.009, 0.028]","0.006 [0.000, 0.014]","0.002 [-0.012, 0.016]"
